accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
EQ220540,EQ338452;EQ338455;EQ338451;EQ338456;EQ338457;EQ338454;EQ338453,1235725,C1=CC(=CC=C1C(=O)NCCC(=O)O)Cl,6.1,min,ZCGLNFAUVVHTQO-UHFFFAOYSA-N,[M-H]-
EQ156617,EQ340355;EQ340353;EQ340352;EQ340354;EQ340356;EQ340357;EQ340358;EQ340351;EQ340359,3052566,C1=CC(=C(C(=C1)Cl)NC2=C(C=C(C=C2)O)CC(=O)O)Cl,10.4,min,VNQURRWYKFZKJZ-UHFFFAOYSA-N,[M-H]-
EQ067834,EQ327852;EQ327857;EQ327856;EQ327855;EQ327854;EQ327859;EQ327851;EQ327858;EQ327853,3085244,C[N+]1(CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42)[O-],14.1,min,VVDXWJOYXVNLLQ-UHFFFAOYSA-N,[M-H]-
EQ666198,EQ364151;EQ364152;EQ364156;EQ364158;EQ364159;EQ364154;EQ364157;EQ364155;EQ364153,5201447,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,4.6,min,AYIRNRDRBQJXIF-UHFFFAOYSA-N,[M-H]-
EQ909877,EQ326554;EQ326557;EQ326555;EQ326552;EQ326553;EQ326559;EQ326556;EQ326558;EQ326551,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,7.7,min,TZBJGXHYKVUXJN-UHFFFAOYSA-N,[M-H]-
EQ038721,EQ369951;EQ369954;EQ369952;EQ369955;EQ369953;EQ369957;EQ369959;EQ369958;EQ369956,9996032,CCCCCCC(C)(C)C1=CC(=C(C=C1)C2CCCC(C2)O)O,17.0,min,ZWWRREXSUJTKNN-UHFFFAOYSA-N,[M-H]-
EQ030960,EQ348758;EQ348752;EQ348754;EQ348753;EQ348756;EQ348755;EQ348759;EQ348751;EQ348757,11027582,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(C=CC(=C2)I)C(=O)OC,9.2,min,VWGAYSCWLXQJBQ-UHFFFAOYSA-N,[M-H]-
EQ210727,EQ279559;EQ279554;EQ279556;EQ279557;EQ279558;EQ279551;EQ279553;EQ279555;EQ279552,19388302,C1=CC=C(C(=C1)C2=CC=C(C=C2)C(=O)O)C3=NNN=N3,6.7,min,USAWIVMZUYOXCF-UHFFFAOYSA-N,[M-H]-
EQ469530,EQ346355;EQ346351;EQ346354;EQ346352;EQ346353;EQ346356;EQ346357,20055208,CC1=CC=CC=C1OCC2=CC=CC=C2/C(=N\OC)/C(=O)O,11.2,min,LXOPDEDFRXZTNO-FBMGVBCBSA-N,[M-H]-
EQ624140,EQ362753;EQ362757;EQ362754;EQ362758;EQ362756;EQ362759;EQ362752;EQ362751;EQ362755,21634109,CC(=O)NC(COC)C(=O)NCC1=CC=CC=C1,5.0,min,VPPJLAIAVCUEMN-UHFFFAOYSA-N,[M-H]-
EQ658835,EQ338158;EQ338159;EQ338152;EQ338151;EQ338156;EQ338157;EQ338153;EQ338154;EQ338155,45038602,C1C[N+](CCN1C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl)(CCOCC(=O)O)[O-],9.6,min,IVDOUUOLLFEMJQ-UHFFFAOYSA-N,[M-H]-
EQ982475,EQ369353;EQ369357;EQ369358;EQ369352;EQ369354;EQ369351;EQ369355;EQ369359;EQ369356,53395233,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,10.9,min,NZCRJKRKKOLAOJ-UHFFFAOYSA-N,[M-H]-
EQ344064,EQ357152;EQ357156;EQ357154;EQ357157;EQ357153;EQ357158;EQ357151;EQ357159;EQ357155,53987276,C1=CC(=CC=C1CCCCCCCC(=O)O)S(=O)(=O)O,8.0,min,KCKCVKAROJRVBA-UHFFFAOYSA-N,[M-H]-
EQ055269,EQ320556;EQ320554;EQ320552;EQ320553;EQ320551;EQ320559;EQ320555;EQ320557;EQ320558,54675783,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,3.6,min,FFTVPQUHLQBXQZ-KVUCHLLUSA-N,[M-H]-
