accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
LU552794,LU085152;LU085151;LU085156;LU085155;LU085154;LU085153,4678,CC(C)(CO)C(C(=O)NCCCO)O,8.129,min,SNPLKNRPJHDVJA-UHFFFAOYSA-N
LU242233,LU106455;LU106452;LU106454;LU106456;LU106453;LU106451,4684,C1=CC(=CC=C1O)Cl,17.244,min,WXNZTHHGJRFXKQ-UHFFFAOYSA-N
LU808490,LU104651;LU104652,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,14.149,min,DDBREPKUVSBGFI-UHFFFAOYSA-N
LU204182,LU017351;LU017353;LU017356;LU017354;LU017352;LU017355,4764,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,15.329,min,KJFMBFZCATUALV-UHFFFAOYSA-N
LU470979,LU067253;LU067254;LU067252;LU067251,4767,CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C,20.471,min,SBNFWQZLDJGRLK-UHFFFAOYSA-N
LU265283,LU028953;LU028952;LU028955;LU028954;LU028951;LU028956,4829,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,13.579,min,HYAFETHFCAUJAY-UHFFFAOYSA-N
LU414538,LU020853;LU020851;LU020854;LU020852;LU020855;LU020856,4911,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,17.13,min,DBABZHXKTCFAPX-UHFFFAOYSA-N
LU483751,LU134152;LU134153;LU134156;LU134155;LU134151;LU134154,4933,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,17.574,min,LFULEKSKNZEWOE-UHFFFAOYSA-N
LU733094,LU032353;LU032354;LU032355;LU032352;LU032351;LU032356,4947,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,14.149,min,ZTHYODDOHIVTJV-UHFFFAOYSA-N
LU441052,LU023653;LU023656;LU023654;LU023652;LU023655;LU023651,5035,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,14.256,min,GZUITABIAKMVPG-UHFFFAOYSA-N
LU938219,LU041451;LU041453;LU041452;LU041456;LU041455;LU041454,5039,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,7.766,min,VMXUWOKSQNHOCA-UHFFFAOYSA-N
LU660985,LU042252;LU042251;LU042256;LU042253;LU042254;LU042255,5104,C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O,6.923,min,XMVJITFPVVRMHC-UHFFFAOYSA-N
LU813863,LU054655;LU054656;LU054651;LU054654;LU054653;LU054652,5147,C1=CC=C(C(=C1)C(=O)N)O,12.125,min,SKZKKFZAGNVIMN-UHFFFAOYSA-N
LU442229,LU067154;LU067152;LU067155;LU067153;LU067151;LU067156,5192,C(CCCCC(=O)O)CCCC(=O)O,15.858,min,CXMXRPHRNRROMY-UHFFFAOYSA-N
LU417094,LU077656;LU077652;LU077654;LU077655;LU077651;LU077653,5320,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,17.244,min,SKIVFJLNDNKQPD-UHFFFAOYSA-N
LU295688,LU057651;LU057654;LU057653;LU057656;LU057655;LU057652,5333,C1=CC(=CC=C1N)S(=O)(=O)N,13.505,min,FDDDEECHVMSUSB-UHFFFAOYSA-N
LU447749,LU041255;LU041252;LU041256;LU041254;LU041253;LU041251,5338,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,13.928,min,NHZLNPMOSADWGC-UHFFFAOYSA-N
LU358453,LU104751;LU104754;LU104752;LU104753;LU104755;LU104756,5339,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,17.048,min,NCEXYHBECQHGNR-UHFFFAOYSA-N
LU615292,LU102451;LU102452;LU102455;LU102456;LU102453;LU102454,5340,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,9.323,min,JNMRHUJNCSQMMB-UHFFFAOYSA-N
LU479644,LU063656;LU063654;LU063652;LU063655;LU063651;LU063653,5344,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,12.443,min,NHUHCSRWZMLRLA-UHFFFAOYSA-N
LU445416,LU113555;LU113553;LU113556;LU113551;LU113552,5362,CCCCC1(C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)COC(=O)CCC(=O)O,17.576,min,ONWXNHPOAGOMTG-UHFFFAOYSA-N
LU101317,LU042753;LU042751;LU042754;LU042755;LU042756;LU042752,5426,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,16.757,min,UEJJHQNACJXSKW-UHFFFAOYSA-N
LU138114,LU094152;LU094151;LU094153;LU094156;LU094154;LU094155,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,10.184,min,YAPQBXQYLJRXSA-UHFFFAOYSA-N
LU389837,LU027254;LU027252;LU027255;LU027251;LU027256,5503,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,16.14,min,OUDSBRTVNLOZBN-UHFFFAOYSA-N
