accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
LQB7800557,LQB00604;LQB00218,138180410,CCCCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN,13.16316,min,ISJLLEYVLZBZHK-BJSHFZDTSA-N,[M-H]-
LQB8302448,LQB00662;LQB00276,138180945,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.049838,min,IUAHNRBNAVSHBB-PVFFKTCKSA-N,[M-H]-
LQB6607312,LQB00722;LQB00336,138181120,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,8.778674,min,IULWELDCBXQXED-ZKVKLVECSA-N,[M-H]-
LQB6456448,LQB00602;LQB00215;LQB00216;LQB00601,138182636,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,9.607102,min,IZEXFAOLFRVCJS-LKVUMQLBSA-N,[M-H]-
LQB2145665,LQB00654;LQB00269;LQB00655;LQB00268,138183060,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.180153,min,JAMPNNNOPHDTDM-LKVUMQLBSA-N,[M-H]-
LQB9983888,LQB00234;LQB00620,138183664,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.961686,min,JCLZWTOIRFULGD-SUDBCHAPSA-N,[M-H]-
LQB0779281,LQB00645;LQB00259,138183909,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,8.798367,min,JDHPBMPBPWNFFB-ZKVKLVECSA-N,[M-H]-
LQB9949178,LQB00332;LQB00718,138184086,CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.489819,min,JDWLFPUFMDBHEL-KAFSZNKPSA-N,[M-H]-
LQB3490406,LQB00644;LQB00258;LQB00643;LQB00257,138187875,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,8.796352,min,JPRWHUSRRGNLOV-MLWYYCKJSA-N,[M-H]-
LQB9653801,LQB00603;LQB00217,138191210,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,9.413862,min,JZSZAGWWWKKXLO-HILQMKNTSA-N,[M-H]-
